   H    hydrogen   1
  Na      sodium   1
  Ag      silver   1
   K   potassium   1
  Li     lithium   1
 NH4    ammonium   1
  Ba      barium   2
  Ca     calcium   2
  Cu     copper2   2
  Mg   magnesium   2
  Zn        zinc   2
  Pb        lead   2
  Fe       iron2   2
  Fe       iron3   3
  Al    aluminum   3
  Cl    chloride  -1
  Br     bromide  -1
   F    flouride  -1
   I      iodide  -1
  OH   hydroxide  -1
 NO3     nitrate  -1
   O       oxide  -2
   S    sulphide  -2
 SO4    sulphate  -2
 CO3   carbonate  -2
